輕裝步兵大師	Peltasta Master	펠타스타 마스터
請去找佩迪米安的雙酬傭兵大師。	Go to the Doppelsoeldner Master in Fedimian	페디미안에 있는 도펠죌트너 마스터를 찾아가세요.
請去找祈願森林的巫師大師。	Go to the Sorcerer Master in Forest of Prayer	기원의 숲에 있는 소서러 마스터를 찾아가세요.
請去找碑石路的時空法師大師。	Go to the Chronomancer Master in Stele Road	비석로에 있는 크로노맨서 마스터를 찾아가세요.
請去找謬樂斯通道的死靈法師大師。	Go to the Necromancer Master in Mullers Passage	뮬러스 통로에 있는 네크로맨서 마스터를 찾아가세요.
水晶礦山的過去	Past of the Crystal Mine	수정광산의 과거
和鍊金術士大師對話	Talk to the Alchemist Master	알케미스트 마스터와 대화
請去找佩迪米安的流氓大師。	Go to the Rogue Master in Fedimian	페디미안에 있는 로그 마스터를 찾아가세요.
請去找女神的古院的造箭者大師。	Go to the Fletcher Master in Goddess' Ancient Garden	여신의 옛뜰에 있는 플레쳐 마스터를 찾아가세요.
請去找碑石路的馴鷹者大師。	Go to Falconer Master in Stele Road	비석로에 있는 응사 마스터를 찾아가세요.
與黑暗騎兵大師對話	Talk to the Schwarzer Reiter Master	슈바르츠 라이터 마스터와 대화
請去找祈願森林的黑暗騎兵大師。	Go to the Schwarzer Reiter Master in Forest of Prayer	기원의 숲에 있는 슈바르츠 라이터 마스터를 찾아가세요.
請去找柯拉佩達的神諭師大師。	Go to the Oracle Master in Klaipeda	클라페다에 있는 오라클 마스터를 찾아가세요.
我會把印章收回來	I will retrieve the seal	인장을 수거해오겠다고 한다
我不想介入他人的家事	Tell you don't want to get involved in a family matter	집안일에 끼고 싶지 않다고 한다
真是胡說八道	Tell that it's absurd	터무니없는 소리라고 한다
我當然願意幫忙	I will certainly help	당연히 돕겠다고 한다
我沒什麼興趣	I am not interested	별로 관심없다고 한다
放心交給我吧	Tell to believe in you	믿고 맡겨두라고 한다
我不想干預奇怪的事	I don't want to get involved in a suspicious task	수상한 일에는 관여하지 않겠다고 한다
傳達狀況中/TALK/3/TRACK_BEFORE/None	Telling him the circumstances/TALK/3/TRACK_BEFORE/None	상황을 전하는 중/TALK/3/TRACK_BEFORE/None
長生不老的安基納斯[巫師轉職]	Eternal Amjinas [Sorcerer Advancement]	불노불사의 암지나스[소서러 전직]
我去問問再回來	I will ask him	물어보고 오겠다고 한다
直接去	Tell him to go there himself	직접 가라고 한다
傳達聽到的話中/TALK/3/TRACK_BEFORE/None	Passing what you heard/TALK/3/TRACK_BEFORE/None	들은 이야기를 전하는 중/TALK/3/TRACK_BEFORE/None
太可怕了，我要放棄	I will quit since it's scary	무서우니 관두겠다고 한다
自己的事情，自己看著辦	Tell him to do his task on his own	자기 일은 알아서 하라고 한다
在泰內聖堂地下1層收集死亡魔特斯的尾針	Collect Desmodus' Tail Pins at Tenet Church B1	테넷 성당 지하 1층에서 데스모두스의 꼬리침 수집
葛利查頓的黑指甲	Glizardon's Black Nails	글리자돈의 검은 손톱
消滅泰內聖堂地下1層的葛利查頓	Defeat a Glizardon in Tenet Church B1	테넷 성당 지하 1층의 글리자돈 처치
尋找大海賊普拉迪斯洛巴斯的物品	Look for the objects of the Great Pirate Vladslovas	대해적 블라디슬로바스의 물건 찾기
回收破裂的王國軍軍團旗	Retrieve the ripped Royal Army's Flag	찢어진 왕국군의 군단기 회수
尋找失蹤的使者的下落	Find the whereabouts of the disappeared 	실종된 사절의 행방 찾기
收集有關安基納斯的情報	Collect the information regarding Amjinas	암지나스에 대한 정보 수집
探索水晶礦山	Explore the Crystal Mine	수정광산 탐사
獲得散發強烈迷戀之意的遺物	Obtain the keepsakes which you could feel strong regrets	강한 미련이 느껴지는 유품 획득
勘查水晶礦山	Explore Crystal Mine	수정광산 탐색
我願意尋找印章	Accept	인장을 찾겠다고 한다
我不想介入他人的私事	Reject	개인사에 끼고 싶지 않다고 한다
收集勒肯家門的印章碎片	Piece of Legwyn Family Seal	르귄가의 인장 조각 수집
交給侍從大師	Talk to the Squire Master	스콰이어 마스터에게 전달
搜索大海賊普拉迪斯洛巴斯的項鍊	Search for the necklace of the Great Pirate Vladslovas	대해적 블라디슬로바스의 목걸이 수색
永生不朽的安基納斯[巫師轉職]	Eternal Amjinas [Sorcerer Advancement]	불로불사의 암지나스[소서러 전직]
我希望親耳聽	Tell him that it will be better to listen directly	직접 듣는 게 좋겠다고 한다
我沒有那種勇氣	I don't have guts for it	그럴 용기는 없다고 한다
請去找夏奧雷伊礦山村莊的拜杜塔斯。	Meet Vaidotas at Siauliai Miners' Village	샤울레이 광산 마을에 있는 바이도타스를 찾아가세요.
偷偷把禮物交給斥候大師	Secretly give the present to the Scout Master	스카우트 마스터에게 몰래 선물 전달
查找與利迪亞夏班有關的線索	Search for the traces of Lydia Schaffen	리디아 샤펜에 관한 단서 수색
交給造箭者大師	Give them to the Fletcher Master	플레쳐 마스터와 전달
請把太陽之甕放在死靈查普利看守的位置上！	Put the Sun Essence on the spot that Chapparition was guarding	채퍼리션이 지키던 자리에 태양의 항아리를 잘 놓아두세요!
空箱子	It's an empty box	빈 상자입니다
傳達狀況中	Explaining the situation	상황을 전하는 중
傳達聽到的話中	Explaining what you heard	들은 이야기를 전하는 중
